刹车力度,油门力度,LapTime,电机功率,时速,image_name
0,100,00:00.17,938,213,2026-01-31_15-47-51_Front_frame_004841.jpg
0,100,00:00.23,934,217,2026-01-31_15-47-51_Front_frame_004842.jpg
0,100,00:00.23,934,217,2026-01-31_15-47-51_Front_frame_004843.jpg
0,100,00:00.28,934,217,2026-01-31_15-47-51_Front_frame_004844.jpg
0,100,00:00.31,934,217,2026-01-31_15-47-51_Front_frame_004845.jpg
0,100,00:00.35,936,217,2026-01-31_15-47-51_Front_frame_004846.jpg
0,100,00:00.37,936,217,2026-01-31_15-47-51_Front_frame_004847.jpg
0,100,00:00.44,936,217,2026-01-31_15-47-51_Front_frame_004848.jpg
0,100,00:00.44,936,217,2026-01-31_15-47-51_Front_frame_004849.jpg
0,100,00:00.54,936,221,2026-01-31_15-47-51_Front_frame_004850.jpg
0,100,00:00.55,936,221,2026-01-31_15-47-51_Front_frame_004851.jpg
0,100,00:00.58,936,221,2026-01-31_15-47-51_Front_frame_004852.jpg
0,100,00:00.58,936,221,2026-01-31_15-47-51_Front_frame_004853.jpg
0,100,00:00.64,936,221,2026-01-31_15-47-51_Front_frame_004854.jpg
0,100,00:00.65,936,221,2026-01-31_15-47-51_Front_frame_004855.jpg
0,100,00:00.68,936,224,2026-01-31_15-47-51_Front_frame_004856.jpg
0,100,00:00.70,936,224,2026-01-31_15-47-51_Front_frame_004857.jpg
0,100,00:00.76,933,224,2026-01-31_15-47-51_Front_frame_004858.jpg
0,100,00:00.77,933,224,2026-01-31_15-47-51_Front_frame_004859.jpg
0,100,00:00.83,933,224,2026-01-31_15-47-51_Front_frame_004860.jpg
0,100,00:00.86,930,224,2026-01-31_15-47-51_Front_frame_004861.jpg
0,100,00:00.90,930,228,2026-01-31_15-47-51_Front_frame_004862.jpg
0,100,00:00.90,930,228,2026-01-31_15-47-51_Front_frame_004863.jpg
0,100,00:00.96,925,228,2026-01-31_15-47-51_Front_frame_004864.jpg
0,100,00:00.98,925,228,2026-01-31_15-47-51_Front_frame_004865.jpg
0,100,00:01.04,918,228,2026-01-31_15-47-51_Front_frame_004866.jpg
0,100,00:01.04,918,228,2026-01-31_15-47-51_Front_frame_004867.jpg
0,100,00:01.10,918,228,2026-01-31_15-47-51_Front_frame_004868.jpg
0,100,00:01.11,918,228,2026-01-31_15-47-51_Front_frame_004869.jpg
0,100,00:01.20,913,231,2026-01-31_15-47-51_Front_frame_004870.jpg
0,100,00:01.21,913,231,2026-01-31_15-47-51_Front_frame_004871.jpg
0,100,00:01.22,913,231,2026-01-31_15-47-51_Front_frame_004872.jpg
0,100,00:01.28,918,231,2026-01-31_15-47-51_Front_frame_004873.jpg
0,100,00:01.28,918,231,2026-01-31_15-47-51_Front_frame_004874.jpg
0,100,00:01.33,918,231,2026-01-31_15-47-51_Front_frame_004875.jpg
0,100,00:01.36,916,234,2026-01-31_15-47-51_Front_frame_004876.jpg
0,100,00:01.39,916,234,2026-01-31_15-47-51_Front_frame_004877.jpg
0,100,00:01.41,916,234,2026-01-31_15-47-51_Front_frame_004878.jpg
0,100,00:01.47,920,234,2026-01-31_15-47-51_Front_frame_004879.jpg
0,100,00:01.47,920,234,2026-01-31_15-47-51_Front_frame_004880.jpg
0,100,00:01.53,911,234,2026-01-31_15-47-51_Front_frame_004881.jpg
0,100,00:01.55,911,234,2026-01-31_15-47-51_Front_frame_004882.jpg
0,100,00:01.61,911,237,2026-01-31_15-47-51_Front_frame_004883.jpg
0,100,00:01.61,911,237,2026-01-31_15-47-51_Front_frame_004884.jpg
0,100,00:01.66,909,237,2026-01-31_15-47-51_Front_frame_004885.jpg
0,100,00:01.68,305,237,2026-01-31_15-47-51_Front_frame_004886.jpg
0,100,00:01.74,305,237,2026-01-31_15-47-51_Front_frame_004887.jpg
0,100,00:01.75,904,237,2026-01-31_15-47-51_Front_frame_004888.jpg
0,100,00:01.78,904,241,2026-01-31_15-47-51_Front_frame_004889.jpg
0,100,00:01.80,904,241,2026-01-31_15-47-51_Front_frame_004890.jpg
0,100,00:01.88,392,241,2026-01-31_15-47-51_Front_frame_004891.jpg
0,100,00:01.88,392,241,2026-01-31_15-47-51_Front_frame_004892.jpg
0,100,00:01.93,302,241,2026-01-31_15-47-51_Front_frame_004893.jpg
0,100,00:01.93,302,241,2026-01-31_15-47-51_Front_frame_004894.jpg
0,100,00:02.01,302,243,2026-01-31_15-47-51_Front_frame_004895.jpg
0,100,00:02.03,302,243,2026-01-31_15-47-51_Front_frame_004896.jpg
0,100,00:02.08,301,243,2026-01-31_15-47-51_Front_frame_004897.jpg
0,100,00:02.08,301,243,2026-01-31_15-47-51_Front_frame_004898.jpg
0,100,00:02.14,301,243,2026-01-31_15-47-51_Front_frame_004899.jpg
0,100,00:02.14,301,243,2026-01-31_15-47-51_Front_frame_004900.jpg
0,100,00:02.22,392,247,2026-01-31_15-47-51_Front_frame_004901.jpg
0,100,00:02.26,394,247,2026-01-31_15-47-51_Front_frame_004902.jpg
0,100,00:02.28,394,247,2026-01-31_15-47-51_Front_frame_004903.jpg
0,100,00:02.28,394,247,2026-01-31_15-47-51_Front_frame_004904.jpg
0,100,00:02.34,389,247,2026-01-31_15-47-51_Front_frame_004905.jpg
0,100,00:02.34,389,247,2026-01-31_15-47-51_Front_frame_004906.jpg
0,100,00:02.40,389,247,2026-01-31_15-47-51_Front_frame_004907.jpg
0,100,00:02.40,389,247,2026-01-31_15-47-51_Front_frame_004908.jpg
0,100,00:02.45,391,245,2026-01-31_15-47-51_Front_frame_004909.jpg
0,100,00:02.47,391,245,2026-01-31_15-47-51_Front_frame_004910.jpg
0,100,00:02.54,391,245,2026-01-31_15-47-51_Front_frame_004911.jpg
0,100,00:02.54,391,245,2026-01-31_15-47-51_Front_frame_004912.jpg
0,100,00:02.61,387,245,2026-01-31_15-47-51_Front_frame_004913.jpg
0,100,00:02.61,387,245,2026-01-31_15-47-51_Front_frame_004914.jpg
0,100,00:02.67,378,252,2026-01-31_15-47-51_Front_frame_004915.jpg
0,100,00:02.67,379,252,2026-01-31_15-47-51_Front_frame_004916.jpg
0,100,00:02.72,379,252,2026-01-31_15-47-51_Front_frame_004917.jpg
0,100,00:02.76,381,252,2026-01-31_15-47-51_Front_frame_004918.jpg
0,100,00:02.81,381,252,2026-01-31_15-47-51_Front_frame_004919.jpg
0,100,00:02.81,381,252,2026-01-31_15-47-51_Front_frame_004920.jpg
0,100,00:02.88,877,252,2026-01-31_15-47-51_Front_frame_004921.jpg
0,100,00:02.89,377,255,2026-01-31_15-47-51_Front_frame_004922.jpg
0,100,00:02.93,380,255,2026-01-31_15-47-51_Front_frame_004923.jpg
0,100,00:02.95,380,255,2026-01-31_15-47-51_Front_frame_004924.jpg
0,95,00:03.01,380,255,2026-01-31_15-47-51_Front_frame_004925.jpg
0,95,00:03.01,380,255,2026-01-31_15-47-51_Front_frame_004926.jpg
0,21,00:03.08,385,255,2026-01-31_15-47-51_Front_frame_004927.jpg
0,21,00:03.08,385,255,2026-01-31_15-47-51_Front_frame_004928.jpg
0,0,00:03.14,385,257,2026-01-31_15-47-51_Front_frame_004929.jpg
0,0,00:03.14,385,257,2026-01-31_15-47-51_Front_frame_004930.jpg
0,0,00:03.20,383,257,2026-01-31_15-47-51_Front_frame_004931.jpg
0,0,00.03.20,383,257,2026-01-31_15-47-51_Front_frame_004932.jpg
0,0,00:03.28,375,257,2026-01-31_15-47-51_Front_frame_004933.jpg
