刹车力度,油门力度,LapTime,电机功率,时速,image_name
0,100,00:00.54,936,221,2026-01-31_15-47-51_Front_frame_004850.jpg
0,100,00:00.83,933,224,2026-01-31_15-47-51_Front_frame_004860.jpg
0,100,00:01.20,913,231,2026-01-31_15-47-51_Front_frame_004870.jpg
0,100,00:01.47,920,234,2026-01-31_15-47-51_Front_frame_004880.jpg
0,100,00:01.80,904,241,2026-01-31_15-47-51_Front_frame_004890.jpg
0,100,00:02.14,301,243,2026-01-31_15-47-51_Front_frame_004900.jpg
0,100,00:02.47,391,245,2026-01-31_15-47-51_Front_frame_004910.jpg
0,100,00:02.81,381,252,2026-01-31_15-47-51_Front_frame_004920.jpg
0,0,00:03.14,385,257,2026-01-31_15-47-51_Front_frame_004930.jpg
9,0,00:03.47,,256,2026-01-31_15-47-51_Front_frame_004940.jpg
43,0,00:03.81,0,250,2026-01-31_15-47-51_Front_frame_004950.jpg
59,0,00:04.16,0,244,2026-01-31_15-47-51_Front_frame_004960.jpg
58,0,00:04.47,0,224,2026-01-31_15-47-51_Front_frame_004970.jpg
56,0,00:04.80,0,217,2026-01-31_15-47-51_Front_frame_004980.jpg
53,0,00:05.13,0,200,2026-01-31_15-47-51_Front_frame_004990.jpg
45,0,00:05.47,0,194,2026-01-31_15-47-51_Front_frame_005000.jpg
38,0,00:05.82,0,184,2026-01-31_15-47-51_Front_frame_005010.jpg
32,0,00:06.16,0,180,2026-01-31_15-47-51_Front_frame_005020.jpg
29,0,00:06.47,0,174,2026-01-31_15-47-51_Front_frame_005030.jpg
39,0,00:06.80,0,171,2026-01-31_15-47-51_Front_frame_005040.jpg
36,0,00:07.16,0,164,2026-01-31_15-47-51_Front_frame_005050.jpg
38,0,00:07.49,0,160,2026-01-31_15-47-51_Front_frame_005060.jpg
41,0,00:07.83,0,153,2026-01-31_15-47-51_Front_frame_005070.jpg
49,0,00:08.17,0,143,2026-01-31_15-47-51_Front_frame_005080.jpg
51,0,00:08.48,0,137,2026-01-31_15-47-51_Front_frame_005090.jpg
45,0,00:08.82,0,125,2026-01-31_15-47-51_Front_frame_005100.jpg
44,0,00:09.13,0,120,2026-01-31_15-47-51_Front_frame_005110.jpg
40,0,00:09.48,0,115,2026-01-31_15-47-51_Front_frame_005120.jpg
36,0,00:09.80,0,107,2026-01-31_15-47-51_Front_frame_005130.jpg
26,0,00:10.14,0,101,2026-01-31_15-47-51_Front_frame_005140.jpg
35,0,00:10.47,0,99,2026-01-31_15-47-51_Front_frame_005150.jpg
36,0,00:10.83,0,91,2026-01-31_15-47-51_Front_frame_005160.jpg
35,0,00:11.15,0,88,2026-01-31_15-47-51_Front_frame_005170.jpg
36,0,00:11.48,0,81,2026-01-31_15-47-51_Front_frame_005180.jpg
31,0,00:11.82,0,78,2026-01-31_15-47-51_Front_frame_005190.jpg
25,0,00:12.14,0,72,2026-01-31_15-47-51_Front_frame_005200.jpg
0,22,00:12.48,0,70,2026-01-31_15-47-51_Front_frame_005210.jpg
0,30,00:12.84,0,69,2026-01-31_15-47-51_Front_frame_005220.jpg
0,32,00:13.14,97,70,2026-01-31_15-47-51_Front_frame_005230.jpg
0,38,00:13.47,115,72,2026-01-31_15-47-51_Front_frame_005240.jpg
0,40,00:13.81,164,74,2026-01-31_15-47-51_Front_frame_005250.jpg
0,38,00:14.14,184,78,2026-01-31_15-47-51_Front_frame_005260.jpg
0,37,00:14.48,171,80,2026-01-31_15-47-51_Front_frame_005270.jpg
0,39,00:14.81,166,83,2026-01-31_15-47-51_Front_frame_005280.jpg
0,40,00:15.15,185,85,2026-01-31_15-47-51_Front_frame_005290.jpg
0,36,00:15.47,181,88,2026-01-31_15-47-51_Front_frame_005300.jpg
